Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816686, Image Name = elps_eye33_2015-05-16_02-48-30-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816684, Image Name = elps_eye33_2015-05-16_02-50-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816678, Image Name = elps_eye33_2015-05-16_02-49-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816679, Image Name = elps_eye33_2015-05-16_02-51-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816670, Image Name = elps_eye33_2015-05-16_02-48-45-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816653, Image Name = elps_eye33_2015-05-16_02-52-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816612, Image Name = elps_eye34_2015-06-04_08-31-18-247.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816605, Image Name = elps_eye33_2015-05-16_02-47-45-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816523, Image Name = elps_eye33_2015-05-16_02-48-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816522, Image Name = elps_eye33_2015-05-16_02-53-45-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816496, Image Name = elps_eye33_2015-05-16_02-53-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816487, Image Name = elps_eye33_2015-05-16_02-50-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816476, Image Name = elps_eye33_2015-05-16_02-53-30-008.png, Width = 320, Height = 240
